This list contains all games supported by FB Alpha.

6006 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					|
| arcadecl	|  	| Arcade Classics (prototype)				| 		| 1992	| Atari Games	| Miscellaneous	| 					|
| arcadian	|  	| Arcadia (NMK)						| 		| 1994	| NMK		| NMK16		| 					|
| area88r	|  	| Area 88 (Japan Resale ver.)				| unsquad	| 1989	| Daipro / Capco| CPS1		| 					|
| area88	|  	| Area 88 (Japan)					| unsquad	| 1989	| Daipro / Capco| CPS1		| 					|
| lwingsj	|  	| Ares no Tsubasa (Japan)				| lwings	| 1986	| Capcom	| Miscellaneous	| 					|
| lwingsja	|  	| Ares no Tsubasa (Japan, rev. A)			| lwings	| 1986	| Capcom	| Miscellaneous	| 					|
| argus		|  	| Argus							| 		| 1986	| NMK (Jaleco li| Miscellaneous	| 					|
| rygarj	|  	| Argus no Senshi (Japan)				| rygar		| 1986	| Tecmo		| Miscellaneous	| 					|
| arian		|  	| Arian Mission						| aso		| 1985	| SNK		| Miscellaneous	| 					|
| arkarea	|  	| Ark Area						| 		| 1988	| UPL		| Miscellaneous	| 					|
| arkgcbl	|  	| Arkanoid (bootleg on Block hardware)			| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arkanoidjbl	|  	| Arkanoid (bootleg with MCU set 1)			| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arkanoidjbl2	|  	| Arkanoid (bootleg with MCU set 2)			| arkanoid	| 1986	| bootleg (Beta)| Arkanoid	| 					|
| arkanoidjbla	|  	| Arkanoid (bootleg with MCU, alt)			| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| ark1ball	|  	| Arkanoid (bootleg with MCU, harder)			| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| ark1balla	|  	| Arkanoid (bootleg with MCU, harder, alt)		| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arkangc	|  	| Arkanoid (Game Corporation bootleg, set 1)		| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arkangc2	|  	| Arkanoid (Game Corporation bootleg, set 2)		| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arkanoidj	|  	| Arkanoid (Japan)					| arkanoid	| 1986	| Taito Corporat| Arkanoid	| 					|
| arkanoidja	|  	| Arkanoid (Japan, older rev)				| arkanoid	| 1986	| Taito Corporat| Arkanoid	| 					|
| arkanoidjb	|  	| Arkanoid (Japan, oldest rev)				| arkanoid	| 1986	| Taito Corporat| Arkanoid	| 					|
| arkatayt	|  	| Arkanoid (Tayto bootleg)				| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arktayt2	|  	| Arkanoid (Tayto bootleg, harder)			| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arkanoidu	|  	| Arkanoid (US)						| arkanoid	| 1986	| Taito America | Arkanoid	| 					|
| arkanoiduo	|  	| Arkanoid (US, oldest rev)				| arkanoid	| 1986	| Taito America | Arkanoid	| 					|
| arkanoid	|  	| Arkanoid (World, oldest rev)				| 		| 1986	| Taito Corporat| Arkanoid	| 					|
| arknoid2b	|  	| Arkanoid - Revenge of DOH (Japan bootleg)		| arknoid2	| 1987	| bootleg	| Miscellaneous	| 					|
| arknoid2j	|  	| Arkanoid - Revenge of DOH (Japan)			| arknoid2	| 1987	| Taito Corporat| Miscellaneous	| 					|
| arknoid2u	|  	| Arkanoid - Revenge of DOH (US)			| arknoid2	| 1987	| Taito America | Miscellaneous	| 					|
| arknoid2	|  	| Arkanoid - Revenge of DOH (World)			| 		| 1987	| Taito Corporat| Miscellaneous	| 					|
| arkretrnu	|  	| Arkanoid Returns (Ver 2.02A 1997/02/10)		| arkretrn	| 1997	| Taito Corporat| Taito F3 Syste| 					|
| arkretrnj	|  	| Arkanoid Returns (Ver 2.02J 1997/02/10)		| arkretrn	| 1997	| Taito Corporat| Taito F3 Syste| 					|
| arkretrn	|  	| Arkanoid Returns (Ver 2.02O 1997/02/10)		| 		| 1997	| Taito Corporat| Taito F3 Syste| 					|
| armwrest	|  	| Arm Wrestling						| 		| 1985	| Nintendo	| Miscellaneous	| 					|
| armedf	|  	| Armed Formation					| 		| 1988	| Nichibutsu	| Miscellaneous	| 					|
| armedff	|  	| Armed Formation (Fillmore license)			| armedf	| 1988	| Nichibutsu (Fi| Miscellaneous	| 					|
| batriderc	|  	| Armed Police Batrider (China) (Fri Feb 13 1998)	| batrider	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batrider	|  	| Armed Police Batrider (Europe) (Fri Feb 13 1998)	| 		| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batriderk	|  	| Armed Police Batrider (Korea) (Fri Feb 13 1998)	| batrider	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batrideru	|  	| Armed Police Batrider (U.S.A.) (Fri Feb 13 1998)	| batrider	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batriderhk	|  	| Armed Police Batrider - A Version (Hong Kong) (Mon Dec| batrider	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batriderja	|  	| Armed Police Batrider - A Version (Japan) (Mon Dec 22 | batrider	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batridert	|  	| Armed Police Batrider - A Version (Taiwan) (Mon Dec 22| batrider	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batriderj	|  	| Armed Police Batrider - B Version (Japan) (Fri Feb 13 | batrider	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| armorcar	|  	| Armored Car (set 1)					| 		| 1981	| Stern		| Galaxian	| 					|
| armorcar2	|  	| Armored Car (set 2)					| armorcar	| 1981	| Stern		| Galaxian	| 					|
| armwarar1	|  	| Armored Warriors (940920 Asia)			| armwar	| 1994	| Capcom	| CPS2		| 					|
| armwaru1	|  	| Armored Warriors (940920 USA)				| armwar	| 1994	| Capcom	| CPS2		| 					|
| armwar1d	|  	| Armored Warriors (941011 Europe Phoenix Edition)	| armwar	| 1994	| bootleg	| CPS2		| 					|
| armwarr1	|  	| Armored Warriors (941011 Europe)			| armwar	| 1994	| Capcom	| CPS2		| 					|
| armwara	|  	| Armored Warriors (941024 Asia)			| armwar	| 1994	| Capcom	| CPS2		| 					|
| armwar	|  	| Armored Warriors (941024 Europe)			| 		| 1994	| Capcom	| CPS2		| 					|
| armwaru	|  	| Armored Warriors (941024 USA)				| armwar	| 1994	| Capcom	| CPS2		| 					|
| aof		|  	| Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044)	| 		| 1992	| SNK		| Neo Geo MVS	| 					|
| aof2a		|  	| Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056)		| aof2		| 1994	| SNK		| Neo Geo MVS	| 					|
| aof2		|  	| Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056)		| 		| 1994	| SNK		| Neo Geo MVS	| 					|
| aof3k		|  	| Art of Fighting 3 - The Path of the Warrior (Korean re| aof3		| 1996	| SNK		| Neo Geo MVS	| 					|
| aof3		|  	| Art of Fighting 3 - The Path of the Warrior / Art of F| 		| 1996	| SNK		| Neo Geo MVS	| 					|
| ashnojoe	|  	| Ashita no Joe (Japan)					| scessjoe	| 1990	| Taito Corporat| Miscellaneous	| Incomplete sound			|
| ashuraj	|  	| Ashura Blaster (Japan)				| ashura	| 1990	| Taito Corporat| Taito B System| 					|
| ashurau	|  	| Ashura Blaster (US)					| ashura	| 1990	| Taito America | Taito B System| 					|
| ashura	|  	| Ashura Blaster (World)				| 		| 1990	| Taito Corporat| Taito B System| 					|
| aso		|  	| ASO - Armored Scrum Object				| 		| 1985	| SNK		| Miscellaneous	| 					|
| assaultj	|  	| Assault (Japan)					| assault	| 1988	| Namco		| System 2	| 					|
| assault	|  	| Assault (Rev B)					| 		| 1988	| Namco		| System 2	| 					|
| assaultp	|  	| Assault Plus (Japan)					| assault	| 1988	| Namco		| System 2	| 					|
| asterixaad	|  	| Asterix (ver AAD)					| asterix	| 1992	| Konami	| GX068		| 					|
| asterixeaa	|  	| Asterix (ver EAA)					| asterix	| 1992	| Konami	| GX068		| 					|
| asterixeac	|  	| Asterix (ver EAC)					| asterix	| 1992	| Konami	| GX068		| 					|
| asterix	|  	| Asterix (ver EAD)					| 		| 1992	| Konami	| GX068		| 					|
| asterixj	|  	| Asterix (ver JAD)					| asterix	| 1992	| Konami	| GX068		| 					|
| asterock	|  	| Asterock (Sidam bootleg of Asteroids)			| asteroid	| 1979	| bootleg (Sidam| Miscellaneous	| 					|
| asterockv	|  	| Asterock (Videotron bootleg of Asteroids)		| asteroid	| 1979	| bootleg (Video| Miscellaneous	| 					|
| asteroidb	|  	| Asteroids (bootleg on Lunar Lander hardware)		| asteroid	| 1979	| bootleg	| Miscellaneous	| 					|
| asteroid1	|  	| Asteroids (rev 1)					| asteroid	| 1979	| Atari		| Miscellaneous	| 					|
| asteroid2	|  	| Asteroids (rev 2)					| asteroid	| 1979	| Atari		| Miscellaneous	| 					|
| asteroid	|  	| Asteroids (rev 4)					| 		| 1979	| Atari		| Miscellaneous	| 					|
| astdelux1	|  	| Asteroids Deluxe (rev 1)				| astdelux	| 1980	| Atari		| Miscellaneous	| 					|
| astdelux2	|  	| Asteroids Deluxe (rev 2)				| astdelux	| 1980	| Atari		| Miscellaneous	| 					|
| astdelux	|  	| Asteroids Deluxe (rev 3)				| 		| 1980	| Atari		| Miscellaneous	| 					|
| astrians	|  	| Astrians (clone of Swarm)				| galaxian	| 1979	| BGV Ltd	| Galaxian	| 					|
| castfant	|  	| Astro Fantasia (DECO Cassette) (US)			| 		| 1981	| Data East Corp| Cassette Syste| 					|
| astrofl	|  	| Astro Flash (Japan)					| transfrm	| 1986	| Sega		| System E	| 					|
| asukaj	|  	| Asuka & Asuka (Japan)					| asuka		| 1988	| Taito Corporat| Taito Misc	| 					|
| asuka		|  	| Asuka & Asuka (World)					| 		| 1988	| Taito Corporat| Taito Misc	| 					|
| asurabld	|  	| Asura Blade - Sword of Dynasty (Japan)		| 		| 1998	| Fuuki		| FG-3		| 					|
| asurabus	|  	| Asura Buster - Eternal Warriors (Japan)		| 		| 2000	| Fuuki		| FG-3		| 					|
| asurabusa	|  	| Asura Buster - Eternal Warriors (Japan) (ARCADIA revie| asurabus	| 2000	| Fuuki		| FG-3		| 					|
| asideral	|  	| Ataque Sideral (Spanish bootleg of UniWar S)		| uniwars	| 1980	| bootleg (Elect| Galaxian	| 					|
| athena	|  	| Athena						| 		| 1986	| SNK		| Miscellaneous	| 					|
| athenab	|  	| Athena (bootleg)					| athena	| 1986	| SNK		| Miscellaneous	| 					|
| atehate	|  	| Athena no Hatena ?					| 		| 1993	| Athena	| Seta		| 					|
| atlantol	|   NW	| Atlant Olimpic					| trackfld	| 1996	| bootleg	| Miscellaneous	| 					|
| acitya	|  	| Atlantic City Action					| bwcasino	| 1983	| EPOS Corporati| Pac-man	| 					|
| atomboya	|  	| Atomic Boy (revision A)				| wilytowr	| 1985	| Irem (Memetron| Irem M63	| 					|
| atomboy	|  	| Atomic Boy (revision B)				| wilytowr	| 1985	| Irem (Memetron| Irem M63	| 					|
| atomicp	|  	| Atomic Point (Korea)					| 		| 1990	| Philco	| System 16B	| 					|
| atompunk	|  	| Atomic Punk (US)					| dynablst	| 1991	| Irem America (| Irem M90	| 					|
| robokidj3	|  	| Atomic Robo-kid (Japan)				| robokid	| 1988	| UPL		| Miscellaneous	| 					|
| robokidj	|  	| Atomic Robo-kid (Japan, Type-2, set 1)		| robokid	| 1988	| UPL		| Miscellaneous	| 					|
| robokidj2	|  	| Atomic Robo-kid (Japan, Type-2, set 2)		| robokid	| 1988	| UPL		| Miscellaneous	| 					|
| robokid	|  	| Atomic Robo-kid (World, Type-2)			| 		| 1988	| UPL		| Miscellaneous	| 					|
| attackf	|   NW	| Attack (Defender bootleg)				| defender	| 1980	| bootleg (Famar| 6809 System	| 					|
| aurailjd	|  	| Aurail (set 1, Japan, FD1089A 317-0167 decrypted)	| aurail	| 1990	| Sega / Westone| System 16B	| 					|
| aurailj	|  	| Aurail (set 1, Japan, FD1089A 317-0167)		| aurail	| 1990	| Sega / Westone| System 16B	| 					|
| aurail1d	|  	| Aurail (set 2, World, FD1089B 317-0168 decrypted)	| aurail	| 1990	| Sega / Westone| System 16B	| 					|
| aurail1	|  	| Aurail (set 2, World, FD1089B 317-0168)		| aurail	| 1990	| Sega / Westone| System 16B	| 					|
| aurail	|  	| Aurail (set 3, US, unprotected)			| 		| 1990	| Sega / Westone| System 16B	| 					|
| avefenix	|  	| Ave Fenix (Electrogame, Spanish bootleg of Phoenix)	| phoenix	| 1980	| bootleg (Video| Miscellaneous	| 					|
| avefenixl	|  	| Ave Fenix (Laguna, Spanish bootleg of Phoenix)	| phoenix	| 1980	| bootleg	| Miscellaneous	| 					|
| avefenixrf	|  	| Ave Fenix (Recreativos Franco, Spanish bootleg of Phoe| phoenix	| 1981	| bootleg (Recre| Miscellaneous	| 					|
| avengers	|  	| Avengers (US set 1)					| 		| 1987	| Capcom	| Miscellaneous	| 					|
| avengers2	|  	| Avengers (US set 2)					| avengers	| 1987	| Capcom	| Miscellaneous	| 					|
| avengrgsj	|  	| Avengers In Galactic Storm (Japan)			| avengrgs	| 1995	| Data East Corp| DECO MLC	| 					|
| avengrgs	|  	| Avengers In Galactic Storm (US)			| 		| 1995	| Data East Corp| DECO MLC	| 					|
| avspirit	|  	| Avenging Spirit					| 		| 1991	| Jaleco	| Mega System 1	| 					|
| aztarac	|  	| Aztarac						| 		| 1983	| Centuri	| Miscellaneous	| Vector graphics			|
| azurian	|  	| Azurian Attack					| 		| 1982	| Rait Electroni| Galaxian	| 					|
| bwingsa	|  	| B-Wings (Alt Ver.?)					| bwings	| 1984	| Data East Corp| Miscellaneous	| 					|
| bwings	|  	| B-Wings (Japan new Ver.)				| 		| 1984	| Data East Corp| Miscellaneous	| 					|
| bwingso	|  	| B-Wings (Japan old Ver.)				| bwings	| 1984	| Data East Corp| Miscellaneous	| 					|
| bonkadv	|  	| B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin	| 		| 1994	| Kaneko	| Kaneko16	| 					|
| bcstry	|  	| B.C. Story (set 1)					| 		| 1997	| SemiCom	| Miscellaneous	| 					|
| bcstrya	|  	| B.C. Story (set 2)					| bcstry	| 1997	| SemiCom	| Miscellaneous	| 					|
| brapboys	|  	| B.Rap Boys (World)					| 		| 1992	| Kaneko	| Kaneko16	| 					|
| brapboyspj	|  	| B.Rap Boys Special (Japan)				| brapboys	| 1992	| Kaneko	| Kaneko16	| 					|
| brapboyspu	|  	| B.Rap Boys Special (US)				| brapboys	| 1992	| Kaneko	| Kaneko16	| 					|
| brapboysp	|  	| B.Rap Boys Special (World)				| brapboys	| 1992	| Kaneko	| Kaneko16	| 					|
| backfirt	|  	| Back Fire (Tecmo, bootleg)				| 		| 1988	| Tecmo		| Miscellaneous	| 					|
| bssoccer	|  	| Back Street Soccer					| 		| 1996	| SunA		| Miscellaneous	| 					|
| backfire	|  	| Backfire! (set 1)					| 		| 1995	| Data East Corp| DECO IC16	| 					|
| backfirea	| D NW	| Backfire! (set 2)					| backfire	| 1995	| Data East Corp| DECO IC16	| Set inputs to \"Joystick\" in test mod|
| baddudes	|  	| Bad Dudes vs. Dragonninja (US)			| 		| 1988	| Data East USA	| DEC0		| 					|
| badlands	|  	| Bad Lands						| 		| 1989	| Atari Games	| Miscellaneous	| 					|
| bagman	|  	| Bagman						| 		| 1982	| Valadon Automa| Miscellaneous	| 					|
| bagmanmc	| D NW	| Bagman (bootleg on Moon Cresta hardware set 1)	| bagman	| 1982	| bootleg	| Galaxian	| Bad Colours				|
| bagmanm2	|   NW	| Bagman (bootleg on Moon Cresta hardware set 2)	| bagman	| 1982	| Valadon Automa| Galaxian	| Bad Colours				|
| bagmans	|  	| Bagman (Stern Electronics, set 1)			| bagman	| 1982	| Valadon Automa| Miscellaneous	| 					|
| bagmans2	|  	| Bagman (Stern Electronics, set 2)			| bagman	| 1982	| Valadon Automa| Miscellaneous	| 					|
| bagmanj	|  	| Bagman (Taito)					| bagman	| 1982	| Valadon Automa| Miscellaneous	| 					|
| bakatono	|  	| Bakatonosama Mahjong Manyuuki (MOM-002)(MOH-002)	| 		| 1991	| Monolith Corp.| Neo Geo MVS	| 					|
| bakubrkr	|  	| Bakuretsu Breaker (Japan)				| explbrkr	| 1992	| Kaneko	| Kaneko16	| 					|
| bakutotu	|  	| Bakutotsu Kijuutei					| 		| 1988	| Namco		| System 1	| 					|
| balcube	|  	| Bal Cube						| 		| 1996	| Metro		| Miscellaneous	| 					|
| ballboy	|  	| Ball Boy						| snowbro3	| 2003	| bootleg	| Kaneko Pandora| 					|
| ballbros	|  	| Balloon Brothers					| 		| 1992	| East Technolog| Taito X	| 					|
| baluba	|  	| Baluba-louk no Densetsu (Japan)			| 		| 1986	| Able Corp, Ltd| Miscellaneous	| 					|
| banbam	|  	| BanBam						| 		| 1984	| Sun Electronic| Miscellaneous	| 					|
| bangball	|  	| Bang Bang Ball (v1.05)				| 		| 1996	| Banpresto / Ku| Miscellaneous	| 					|
| b2b		|  	| Bang Bang Busters (2010 NCI release)			| 		| 2000	| Visco		| Neo Geo MVS	| 					|
| bangbead	|  	| Bang Bead						| 		| 2000	| Visco		| Neo Geo MVS	| 					|
| bangbedp	|  	| Bang Bead (Prototype?)				| bangbead	| 2000	| Visco		| Neo Geo MVS	| 					|
| bang		|  	| Bang!							| 		| 1998	| Gaelco	| Miscellaneous	| 					|
| bankp		|  	| Bank Panic						| 		| 1984	| [Sanritsu] Seg| Miscellaneous	| 					|
| baraduke	|  	| Baraduke						| aliensec	| 1985	| Namco		| Miscellaneous	| 					|
| baryon	|  	| Baryon - Future Assault (set 1)			| 		| 1997	| SemiCom	| Miscellaneous	| 					|
| baryona	|  	| Baryon - Future Assault (set 2)			| baryon	| 1997	| SemiCom	| Miscellaneous	| 					|
| bstars2	|  	| Baseball Stars 2					| 		| 1992	| SNK		| Neo Geo MVS	| 					|
| bstarsh	|  	| Baseball Stars Professional (NGH-002)			| bstars	| 1990	| SNK		| Neo Geo MVS	| 					|
| bstars	|  	| Baseball Stars Professional (NGM-002)			| 		| 1990	| SNK		| Neo Geo MVS	| 					|
| batman	|  	| Batman						| 		| 1991	| Atari Games	| Miscellaneous	| 					|
| batman2	|  	| Batman Part 2						| phoenix	| 1981	| bootleg	| Galaxian	| 					|
| batsugunb	|  	| Batsugun (Korean PCB)					| batsugun	| 1993	| Toaplan	| Dual Toaplan G| 					|
| batsugun	|  	| Batsugun (set 1)					| 		| 1993	| Toaplan	| Dual Toaplan G| 					|
| batsuguna	|  	| Batsugun (set 2)					| batsugun	| 1993	| Toaplan	| Dual Toaplan G| 					|
| batsugunsp	|  	| Batsugun (Special Ver.)				| batsugun	| 1993	| Toaplan	| Dual Toaplan G| 					|
| battlntsj	|  	| Battlantis (Japan, program code E)			| battlnts	| 1987	| Konami	| GX777		| 					|
| battlntsa	|  	| Battlantis (program code F)				| battlnts	| 1987	| Konami	| GX777		| 					|
| battlnts	|  	| Battlantis (program code G)				| 		| 1987	| Konami	| GX777		| 					|
| bbakraidja	|  	| Battle Bakraid (Japan) (Wed Apr 7 1999)		| bbakraid	| 1999	| Eighting	| Toaplan GP9001| 					|
| bbakraidc	|  	| Battle Bakraid - Unlimited Version (China) (Tue Jun 8 | bbakraid	| 1999	| Eighting	| Toaplan GP9001| 					|
| bbakraidj	|  	| Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8 | bbakraid	| 1999	| Eighting	| Toaplan GP9001| 					|
| bbakraid	|  	| Battle Bakraid - Unlimited Version (U.S.A.) (Tue Jun 8| 		| 1999	| Eighting	| Toaplan GP9001| 					|
| batlbubl	|  	| Battle Bubble (v2.00)					| bangball	| 1999	| Banpresto (Lim| Miscellaneous	| 					|
| bchopper	|  	| Battle Chopper					| 		| 1987	| Irem		| Irem M72	| 					|
| batcira	|  	| Battle Circuit (970319 Asia)				| batcir	| 1997	| Capcom	| CPS2		| 					|
| batcird	|  	| Battle Circuit (970319 Euro Phoenix Edition)		| batcir	| 1997	| bootleg	| CPS2		| 					|
| batcir	|  	| Battle Circuit (970319 Euro)				| 		| 1997	| Capcom	| CPS2		| 					|
| batcirj	|  	| Battle Circuit (970319 Japan)				| batcir	| 1997	| Capcom	| CPS2		| 					|
| battlex	|  	| Battle Cross						| 		| 1982	| Omori Electric| Miscellaneous	| 					|
| bcruzm12	|  	| Battle Cruiser M-12					| 		| 1983	| Sigma Enterpri| Miscellaneous	| 					|
| btlfieldb	|  	| Battle Field (bootleg)				| timesold	| 1987	| bootleg	| Miscellaneous	| no-rotation joystick ver		|
| btlfield	|  	| Battle Field (Japan)					| timesold	| 1987	| Alpha Denshi C| Miscellaneous	| 					|
| flipshot	|  	| Battle Flip Shot					| 		| 1998	| Visco		| Neo Geo MVS	| 					|
| bgareggahk	|  	| Battle Garegga (Austria / Hong Kong) (Sat Feb 3 1996)	| bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					|
| bgaregga	|  	| Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb | 		| 1996	| Raizing / 8ing| Toaplan GP9001| 					|
| bgareggatw	|  	| Battle Garegga (Taiwan / Germany) (Thu Feb 1 1996)	| bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					|
| bgaregganv	|  	| Battle Garegga - New Version (Austria / Hong Kong) (Sa| bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					|
| bgareggacn	|  	| Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1| bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					|
| bgareggat2	|  	| Battle Garegga - Type 2 (Europe / USA / Japan / Asia) | bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					|
| bgareggaz	|  	| Battle Garegga Zakk version (Europe / USA / Japan / As| bgaregga	| 2008	| Raizing / 8ing| Toaplan GP9001| 					|
| btlkroad	|  	| Battle K-Road						| 		| 1994	| Psikyo	| Psikyo 68EC020| 					|
| btlkroadk	|  	| Battle K-Road (Korean PCB)				| btlkroad	| 1994	| Psikyo	| Psikyo 68EC020| 					|
| battlane	|  	| Battle Lane! Vol. 5 (set 1)				| 		| 1986	| Technos Japan | Miscellaneous	| 					|
| battlane2	|  	| Battle Lane! Vol. 5 (set 2)				| battlane	| 1986	| Technos Japan | Miscellaneous	| 					|
| battlane3	|  	| Battle Lane! Vol. 5 (set 3)				| battlane	| 1986	| Technos Japan | Miscellaneous	| 					|
| atlantisb	|  	| Battle of Atlantis (bootleg)				| atlantis	| 1981	| bootleg	| Galaxian	| 					|
| atlantis	|  	| Battle of Atlantis (set 1)				| 		| 1981	| Comsoft	| Galaxian	| 					|
| atlantis2	|  	| Battle of Atlantis (set 2)				| atlantis	| 1981	| Comsoft	| Galaxian	| 					|
| bsharkj	|  	| Battle Shark (Japan)					| bshark	| 1989	| Taito Corporat| Taito Z	| 					|
| bsharkjjs	|  	| Battle Shark (Japan, Joystick)			| bshark	| 1989	| Taito Corporat| Taito Z	| 					|
| bsharku	|  	| Battle Shark (US)					| bshark	| 1989	| Taito America | Taito Z	| 					|
| bshark	|  	| Battle Shark (World)					| 		| 1989	| Taito Corporat| Taito Z	| 					|
| batlzone	|  	| Battle Zone (bootleg of Mayday)			| mayday	| 1980	| bootleg (Video| 6809 System	| 					|
| bzonec	|  	| Battle Zone (cocktail)				| bzone		| 1980	| Atari		| Miscellaneous	| GFX/Sound Issues			|
| bzonea	|  	| Battle Zone (rev 1)					| bzone		| 1980	| Atari		| Miscellaneous	| GFX/Sound Issues			|
| bzone		|  	| Battle Zone (rev 2)					| 		| 1980	| Atari		| Miscellaneous	| GFX/Sound Issues			|
| bayroute1	|  	| Bay Route (set 1, US, unprotected)			| bayroute	| 1989	| Sunsoft / Sega| System 16B	| 					|
| bayroutejd	|  	| Bay Route (set 2, Japan, FD1094 317-0115 decrypted)	| bayroute	| 1989	| Sunsoft / Sega| System 16B	| 					|
| bayroutej	|  	| Bay Route (set 2, Japan, FD1094 317-0115)		| bayroute	| 1989	| Sunsoft / Sega| System 16B	| 					|
| bayrouted	|  	| Bay Route (set 3, World, FD1094 317-0116 decrypted)	| bayroute	| 1989	| Sunsoft / Sega| System 16B	| 					|
